scenario,noise_mode,sigma,group_type,group,metric,n,mean,std,cv,min,p05,p25,p50,p75,p95,max,iqr,range,std_vs_raw,iqr_vs_raw,range_vs_raw,median_vs_raw
rotation_sigma0.0398,rotation,0.0398,overall,all,nicp_p2tri,1350,0.02175616453,0.00299917622,0.137854088,0.01596547839,0.01766062016,0.01974433387,0.02115464574,0.02330428327,0.02765201691,0.03324616309,0.003559949399,0.0172806847,0.1833593915,0.1924352118,0.1905639563,0.5464476881
rotation_sigma0.1000,rotation,0.1000,overall,all,latent_distance,1350,0.451519698,0.1025175024,0.2270499002,0.180723846,0.2879497811,0.3794002458,0.4478402585,0.5211673826,0.6277392507,0.7297483087,0.1417671368,0.5490244627,6.284886896,7.981588208,6.061683036,11.30503676
rotation_sigma0.1000,rotation,0.1000,overall,all,raw_chamfer,1350,0.04411532576,0.01631174977,0.3697524497,0.02164381669,0.02649932694,0.03240818716,0.03961422398,0.05016995751,0.07943334278,0.1122167581,0.01776177035,0.09057294144,1,1,1,1
rotation_sigma0.1000,rotation,0.1000,overall,all,rigid_p2p,1350,0.03152506438,0.00934489362,0.2964274238,0.01904065474,0.02171608693,0.0247812418,0.02862603532,0.0359448797,0.05048178907,0.08809022728,0.0111636379,0.06904957254,0.5728933899,0.6285205631,0.7623642496,0.7226201207
rotation_sigma0.1000,rotation,0.1000,overall,all,nicp_p2p,1350,0.02384278534,0.002918798788,0.1224185323,0.01753807527,0.01974591089,0.02183713149,0.0232443102,0.02540731965,0.02937309229,0.03561235593,0.003570188168,0.01807428065,0.1789384235,0.2010040722,0.1995549705,0.5867667687
rotation_sigma0.1000,rotation,0.1000,overall,all,nicp_p2tri,1350,0.0218534466,0.003099093382,0.141812568,0.01528635348,0.01749241428,0.01978229815,0.02123370241,0.02355417116,0.02764943245,0.03401847993,0.003771873016,0.01873212645,0.189991474,0.2123590691,0.2068181308,0.5360120753
translation_sigma0.0010,translation,0.0010,overall,all,latent_distance,1350,0.4443371218,0.104143014,0.2343783782,0.1909869313,0.2738147512,0.370305039,0.4421238303,0.516686812,0.6194064289,0.7095631361,0.1463817731,0.5185762048,6.301780475,7.859565898,5.723294794,11.36923821
translation_sigma0.0010,translation,0.0010,overall,all,raw_chamfer,1350,0.04377003757,0.01652596665,0.377563456,0.02146722456,0.02642521604,0.03178601085,0.03888772689,0.05041067473,0.07977538805,0.1120752088,0.01862466388,0.09060798428,1,1,1,1
translation_sigma0.0010,translation,0.0010,overall,all,rigid_p2p,1350,0.03139313262,0.009068975498,0.2888840565,0.01914688493,0.02168060011,0.02468162588,0.02870692378,0.03610937301,0.04925642381,0.07796626961,0.01142774713,0.05881938468,0.5487712573,0.6135813891,0.6491633728,0.7382000974
translation_sigma0.0010,translation,0.0010,overall,all,nicp_p2p,1350,0.02378020143,0.002923905105,0.1229554389,0.01840688847,0.0197344807,0.0218272506,0.02323373092,0.02524303883,0.02946711902,0.03600438652,0.003415788236,0.01759749805,0.176927932,0.1834013359,0.1942157547,0.5974566472
translation_sigma0.0010,translation,0.0010,overall,all,nicp_p2tri,1350,0.02179221375,0.003106245545,0.1425392381,0.01595726964,0.01746647716,0.01966520338,0.02121772897,0.02342484371,0.02782805669,0.03440479404,0.003759640332,0.0184475244,0.1879615039,0.2018635266,0.2035971173,0.5456150479
translation_sigma0.0025,translation,0.0025,overall,all,latent_distance,1350,0.4446481184,0.1048593838,0.2358255426,0.1860850453,0.2744525433,0.3689852804,0.4430033565,0.5168420821,0.6217366636,0.7227882147,0.1478568017,0.5367031693,6.300015202,7.817589289,5.96921399,11.33317905
translation_sigma0.0025,translation,0.0025,overall,all,raw_chamfer,1350,0.04391611093,0.01664430647,0.3790022868,0.0208924225,0.0261949714,0.03174286856,0.03908906358,0.05065621848,0.08006742271,0.1108042887,0.01891334992,0.08991186615,1,1,1,1
translation_sigma0.0025,translation,0.0025,overall,all,rigid_p2p,1350,0.03151053235,0.009331134489,0.2961274784,0.01931413757,0.02182564453,0.02484334875,0.02870231338,0.03617284163,0.05001232711,0.08618019348,0.01132949288,0.06686605591,0.5606202039,0.5990209522,0.7436844409,0.7342798919
translation_sigma0.0025,translation,0.0025,overall,all,nicp_p2p,1350,0.02377039015,0.002906091545,0.1222567878,0.01817309241,0.01977417258,0.02182468984,0.02323826044,0.02522884447,0.02943445361,0.03564835279,0.003404154627,0.01747526038,0.1745997378,0.1799868686,0.1943598896,0.5944951941
translation_sigma0.0025,translation,0.0025,overall,all,nicp_p2tri,1350,0.02177772322,0.003083642996,0.1415962066,0.01566925738,0.01749779569,0.01967741526,0.02120678446,0.02340691596,0.02763579793,0.03400738911,0.003729500708,0.01833813174,0.1852671363,0.1971887965,0.203956747,0.5425247503
translation_sigma0.0063,translation,0.0063,overall,all,latent_distance,1350,0.4439940844,0.1033856852,0.2328537448,0.1880813986,0.2764123678,0.3703217953,0.4440028667,0.5164399445,0.6198111773,0.7067680359,0.1461181492,0.5186866373,6.323493533,7.868647026,5.846508116,11.42480541
translation_sigma0.0063,translation,0.0063,overall,all,raw_chamfer,1350,0.04369372547,0.01634945694,0.3741831754,0.02114861112,0.02627359821,0.03177842207,0.03886305725,0.05034808832,0.0791261409,0.1098659492,0.01856966626,0.0887173381,1,1,1,1
translation_sigma0.0063,translation,0.0063,overall,all,rigid_p2p,1350,0.03148470131,0.009163147343,0.2910349141,0.01909385647,0.0219542829,0.02493133085,0.02864685017,0.03583703779,0.0500037077,0.08276587057,0.01090570694,0.0636720141,0.5604557617,0.5872861036,0.717695272,0.7371229183
translation_sigma0.0063,translation,0.0063,overall,all,nicp_p2p,1350,0.02375589729,0.002893490453,0.1218009329,0.01829923353,0.01969487403,0.02181453936,0.02317977784,0.02531987192,0.02932501017,0.03502430755,0.003505332558,0.01672507402,0.1769777714,0.188766589,0.188520918,0.5964476158
translation_sigma0.0063,translation,0.0063,overall,all,nicp_p2tri,1350,0.02176559849,0.003070787791,0.1410844637,0.01586995848,0.01744562913,0.01968544939,0.02117893204,0.02343691475,0.0276527114,0.03350404307,0.003751465355,0.0176340846,0.1878220055,0.2020211512,0.1987670615,0.5449630971
translation_sigma0.0158,translation,0.0158,overall,all,latent_distance,1350,0.4433130666,0.102511805,0.2312402064,0.1901707202,0.2773297518,0.3692857698,0.4409292489,0.5144657493,0.6168684989,0.7084242702,0.1451799795,0.5182535499,6.195357675,7.717709992,5.71864319,11.34301083
translation_sigma0.0158,translation,0.0158,overall,all,raw_chamfer,1350,0.04379752152,0.01654655153,0.3777965271,0.02134465546,0.02647332215,0.03176742268,0.03887232902,0.05057869956,0.07987635324,0.1119699196,0.01881127687,0.09062526419,1,1,1,1
translation_sigma0.0158,translation,0.0158,overall,all,rigid_p2p,1350,0.0313167682,0.008889852916,0.2838687842,0.01929524785,0.02186352857,0.02482991444,0.02872090307,0.03580751043,0.04820300068,0.08306221921,0.01097759599,0.06376697136,0.5372631815,0.5835646388,0.7036334948,0.7388521295
translation_sigma0.0158,translation,0.0158,overall,all,nicp_p2p,1350,0.02374947214,0.002897550922,0.1220048557,0.01820329709,0.01974240105,0.02176874599,0.02319766821,0.02533403419,0.02946099007,0.03528266447,0.003565288205,0.01707936738,0.1751150938,0.1895293035,0.1884614355,0.5967655861
translation_sigma0.0158,translation,0.0158,overall,all,nicp_p2tri,1350,0.02175772776,0.003077575903,0.1414474865,0.0159088372,0.01751458223,0.0196242537,0.0211429168,0.02340894935,0.02779033984,0.03371916798,0.003784695645,0.01781033078,0.1859950031,0.2011929158,0.196527215,0.5439066126
translation_sigma0.0398,translation,0.0398,overall,all,latent_distance,1350,0.4451051509,0.1033133329,0.2321099468,0.1829944998,0.2758706465,0.3713657185,0.4431845546,0.5187883526,0.6204456568,0.7237138748,0.1474226341,0.540719375,6.444920697,8.054675267,6.088628961,11.40668553
translation_sigma0.0398,translation,0.0398,overall,all,raw_chamfer,1350,0.04349046765,0.01603019459,0.3685909915,0.02128389942,0.02627510126,0.03176224142,0.03885305275,0.05006498227,0.07861579971,0.1100919675,0.01830274085,0.08880806804,1,1,1,1
translation_sigma0.0398,translation,0.0398,overall,all,rigid_p2p,1350,0.031501517,0.009192593614,0.2918143153,0.01916405457,0.02181852396,0.02484131916,0.02866546229,0.03607839381,0.05002194284,0.08326648078,0.01123707465,0.06410242621,0.5734548986,0.6139558407,0.7218085882,0.7377917631
translation_sigma0.0398,translation,0.0398,overall,all,nicp_p2p,1350,0.02381968942,0.002941415439,0.1234867251,0.01765530333,0.01971061647,0.0218295609,0.02329891969,0.02546884094,0.02951094945,0.03627376854,0.003639280034,0.01861846521,0.1834921855,0.1988379808,0.2096483531,0.599667672
translation_sigma0.0398,translation,0.0398,overall,all,nicp_p2tri,1350,0.02181929212,0.00312482003,0.14321363,0.01530472574,0.01753057271,0.01969860297,0.02128503013,0.02358529288,0.02769761053,0.03463605179,0.003886689915,0.01933132605,0.194933381,0.2123556218,0.217675336,0.5478341758
translation_sigma0.1000,translation,0.1000,overall,all,latent_distance,1350,0.446078361,0.101956932,0.2285628287,0.1795754433,0.2772827372,0.3761724979,0.4463042468,0.5163300782,0.6194708169,0.7112531662,0.1401575804,0.5316777229,6.135890681,7.409411092,5.805152558,11.46833224
translation_sigma0.1000,translation,0.1000,overall,all,raw_chamfer,1350,0.04374833257,0.01661648444,0.3798198345,0.02061563388,0.02637523588,0.03159001713,0.03891622926,0.0505061737,0.08029164109,0.1122028433,0.01891615658,0.0915872094,1,1,1,1
translation_sigma0.1000,translation,0.1000,overall,all,rigid_p2p,1350,0.03124046301,0.009027868427,0.2889799817,0.01909736063,0.02165540022,0.0246625586,0.02858593103,0.03581247586,0.04946753468,0.08414500386,0.01114991726,0.06504764323,0.54330797,0.5894388332,0.7102262822,0.734550381
translation_sigma0.1000,translation,0.1000,overall,all,nicp_p2p,1350,0.0237268229,0.00289544363,0.1220325049,0.01841364029,0.01954569091,0.02178890305,0.0231652484,0.02525896445,0.02928239726,0.03575194661,0.003470061401,0.01733830631,0.1742512769,0.1834443158,0.1893092543,0.5952593261
translation_sigma0.1000,translation,0.1000,overall,all,nicp_p2tri,1350,0.02174128752,0.003074754131,0.1414246571,0.01605296787,0.01736433475,0.01972325471,0.0211454104,0.02338151563,0.02754423645,0.03429316044,0.003658260915,0.01824019257,0.1850423983,0.193393457,0.1991565492,0.543357124
